SP_ENTITY_NAME,SP_ENTITY_ID,MI_INDUSTRY_CLASSIFICATION,SP_COMPANY_TYPE,SP_COMPANY_STATUS,SP_COUNTRY_NAME,SP_DEBT_TO_EQUITY,SP_TOTAL_DEBT,SP_TOTAL_ASSETS,SP_MARKETCAP,SP_COMPANY_NAME_ABBR
Bosera China Merchants Shekou Industrial Zone (SZSE:180101),29248357,Industrial REIT,Public Company,Operating,China,0.47,"118,483,472","737,157,340","2,945.7",Bosera China Mrchnt Shekou Ind
"Boston Properties, Inc. (NYSE:BXP)",112885,Office REIT,Public Company,Operating,USA,1.66,"13,345,591","22,365,258","11,363.3",Boston Properties Inc.
Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario (BOVESPA:BCIA11),4864469,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,346.4,Bradesco Carteira Imobiliaria
Braemar Hotels & Resorts Inc. (NYSE:BHR),4384791,Hotel REIT,Public Company,Operating,USA,3.23,"1,233,615","1,879,522",332.8,Braemar Hotels & Resorts
Brandywine Realty Trust (NYSE:BDN),103209,Office REIT,Public Company,Operating,USA,1.10,"1,876,548","3,846,196","1,082.6",Brandywine Realty Trust
Bravo Property Fund REIT (BUL:BPF),10388755,Diversified REIT,Public Company,Operating,Bulgaria,0.74,"27,842","66,651",36.3,Bravo Property Fund REIT
Bricklane London REIT plc,6905200,Residential REIT,Public Company,Operating,United Kingdom,NA,0,"4,260",NA,Bricklane London REIT plc
Bricklane Residential REIT plc,5879654,Residential REIT,Public Company,Operating,United Kingdom,0.43,"5,801","20,182",8.4,Bricklane Residential REIT plc
BriQ Properties Real Estate Investment Company (ATSE:BRIQ),7278154,Diversified REIT,Public Company,Operating,Greece,0.32,"30,175","128,402",66.5,BriQ Ppts RE Invt Co
British Land Company Plc (LSE:BLND),4143580,Diversified REIT,Public Company,Operating,United Kingdom,0.41,"2,747,000","9,842,000","3,191.7",British Land Co. Plc
Brixmor Property Group Inc. (NYSE:BRX),4400077,Retail REIT,Public Company,Operating,USA,1.91,"5,198,231","8,377,393","5,855.5",Brixmor Property Group Inc.
"Broadstone Net Lease, Inc. (NYSE:BNL)",5797703,Diversified REIT,Public Company,Operating,USA,0.62,"1,691,888","4,618,648","2,790.6",Broadstone Net Lease Inc.
Brookfield India Real Estate Trust (NSEI:BIRET),25886837,Office REIT,Public Company,Operating,India,0.58,"51,903,510","147,857,980","105,170.4",Brookfield India RE Tr
BRT Apartments Corp. (NYSE:BRT),102926,Residential REIT,Public Company,Operating,USA,1.18,"239,609","459,538",405.1,BRT Apartments Corp
