SP_ENTITY_NAME,SP_ENTITY_ID,MI_INDUSTRY_CLASSIFICATION,SP_COMPANY_TYPE,SP_COMPANY_STATUS,SP_COUNTRY_NAME,SP_DEBT_TO_EQUITY,SP_TOTAL_DEBT,SP_TOTAL_ASSETS,SP_MARKETCAP,SP_COMPANY_NAME_ABBR
Mapletree Industrial Trust (SGX:ME8U),4273584,Industrial REIT,Public Company,Operating,Singapore,0.56,"2,939,725","8,479,971","5,759.7",Mapletree Industrial Trust
Mapletree Logistics Trust (SGX:M44U),4143509,Industrial REIT,Public Company,Operating,Singapore,0.66,"5,059,427","13,689,840","6,868.1",Mapletree Logistics Trust
Mapletree Pan Asia Commercial Trust (SGX:N2IU),4286492,Retail REIT,Public Company,Operating,Singapore,0.52,"3,004,334","8,984,523","8,111.8",Mapletree Pan Asia Comm Trust
"Marimo Regional Revitalization REIT, Inc. (TSE:3470)",4863383,Diversified REIT,Public Company,Operating,Japan,1.07,"21,108","43,096",25.5,Marimo Regional Revitalization
Marti Gayrimenkul Yatirim Ortakligi A.S. (IBSE:MRGYO),4864283,Hotel REIT,Public Company,Operating,Türkiye,0.28,"402,238","1,927,711",960.3,Marti Gayrimenkul Yatirim Orta
Máxima Renda Corporativa Fundo de Investimento Imobiliário - FII (BOVESPA:CARE11),4864395,Diversified REIT,Public Company,Operating,Brazil,NA,0,"46,550",123.1,Máxima Renda Corporativa Fundo
"Maxus Realty Trust, Inc. (OTCPK:MRTI)",102987,Residential REIT,Public Company,Operating,USA,9.01,"149,924","169,677",267.7,Maxus Realty Trust
"Medalist Diversified REIT, Inc. (NASDAQCM:MDRR)",8060895,Diversified REIT,Public Company,Operating,USA,2.89,"66,361","92,547",13.9,Medalist Diversified REIT
"Medical Properties Trust, Inc. (NYSE:MPW)",4095909,Healthcare REIT,Public Company,Operating,USA,1.35,"11,369,924","20,519,801","6,120.1",Medical Properties Trust Inc.
Megureit Israel Ltd (TASE:MGRT),4979223,Residential REIT,Public Company,Operating,Israel,1.71,"1,767,159","2,856,056",861.5,Megureit Israel Ltd
Melcor Real Estate Investment Trust (TSX:MR.UN),4388005,Diversified REIT,Public Company,Operating,Canada,3.32,"551,117","735,668",73.6,Melcor REIT
Menivim - The New Reit Ltd (TASE:MNRT),7180848,Diversified REIT,Public Company,Operating,Israel,0.80,"1,056,659","2,389,556","1,256.5",Menivim - The New Reit Ltd
"Mercal Inmuebles Socimi, S.A. (BME:YMEI)",4864455,Retail REIT,Public Company,Operating,Spain,0.58,"11,170","32,903",41.0,Mercal Inmuebles Socimi S.A.
Mercialys (ENXTPA:MERY),4143726,Retail REIT,Public Company,Operating,France,1.45,"1,372,544","2,434,366",773.4,Mercialys
"Meridia Real Estate III, SOCIMI, S.A. (BME:YMRE)",7921552,Office REIT,Public Company,Operating,Spain,0.70,"89,413","368,723",96.2,Meridia RE III SOCIMI S.A.
Mérito Desenvolvimento Imobiliário I FII - Fundo de Investimento Imobiliário (BOVESPA:MFII11),4864420,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,409.1,Mérito Desenvolvimento Imobili
"MERLIN Properties SOCIMI, S.A. (BME:MRL)",4546598,Diversified REIT,Public Company,Operating,Spain,0.88,"6,184,189","14,272,838","3,694.3",MERLIN Properties
"MÉXICO INFRASTRUCTURE PARTNERS F1, S.A.P.I. DE C.V. (BMV:FEXI 21)",105616304,Specialty REIT,Public Company,Operating,Mexico,NA,NA,NA,NA,MÉXICO INFRASTRUCTURE Ptnrs F1
MFC Industrial Real Estate Investment Trust (SET:MIT),4864512,Specialty REIT,Public Company,Operating,Thailand,0.47,"411,539","1,382,200",261.3,MFC Industrial REIT
MFC Multi-National Residence Fund (SET:MNRF),4864155,Residential REIT,Public Company,Operating,Thailand,NA,0,"866,684",303.2,MFC Multi-Natl Residence Fund
MFC Patong Heritage Property Fund (SET:M.PAT),5735938,Hotel REIT,Public Company,Operating,Thailand,NA,0,"557,875",382.2,MFC Patong Hrtg Ppty Fund
MFC-Strategic Storage Fund (SET:M.STOR),5730516,Industrial REIT,Public Company,Operating,Thailand,NA,0,"640,383",355.7,MFC-Strategic Storage Fund
"Mid-America Apartment Communities, Inc. (NYSE:MAA)",103123,Residential REIT,Public Company,Operating,USA,0.74,"4,546,941","11,285,182","17,261.6",MAA
Middle East Financial Investment Company (SASE:4346),4669199,Diversified REIT,Public Company,Operating,Saudi Arabia,0.11,"36,817","411,289",218.4,Middle East Finl Invt Co.
"Millenium Hospitality Real Estate, SOCIMI, S.A. (BME:YMHRE)",13090643,Hotel REIT,Public Company,Operating,Spain,0.32,"117,209","528,529",416.9,Millenium Hospitality Re SOCIM
Mindspace Business Parks REIT (BSE:543217),19727810,Office REIT,Public Company,Operating,India,0.27,"44,607,000","223,535,000","212,336.1",Mindspace Bus Parks REIT
Minto Apartment Real Estate Investment Trust (TSX:MI.UN),10687522,Residential REIT,Public Company,Operating,Canada,1.38,"1,390,358","2,440,714",534.1,Minto Apartment REIT
"Mirae Asset Global REIT Co., Ltd. (KOSE:A396690)",29466343,Diversified REIT,Public Company,Operating,South Korea,1.21,"168,058","311,867",103.7,Mirae Asset Global REIT
"Miraeasset Maps REIT 1 Co., Ltd. (KOSE:A357250)",20279495,Retail REIT,Public Company,Operating,South Korea,NA,NA,NA,63.4,Miraeasset Maps REIT 1
MIRAI Corporation (TSE:3476),6661133,Office REIT,Public Company,Operating,Japan,1.04,"84,000","171,983",82.5,MIRAI Corp.
Mirvac Group (ASX:MGR),4143466,Diversified REIT,Public Company,Operating,Australia,0.38,"4,291,000","17,205,000","7,635.2",Mirvac Group
Mistral Gayrimenkul Yatirim Ortakligi A.S. (IBSE:MSGYO),6676249,Diversified REIT,Public Company,Operating,Türkiye,NA,0,"490,003",715.4,Mistral Gayrimenkul Yatirim Or
"Mistral Iberia Real Estate SOCIMI, S.A. (BME:YMIB)",10116347,Diversified REIT,Public Company,Operating,Spain,0.35,"6,944","27,257",22.5,Mistral Iberia RE SOCIMI S.A.
Mitsubishi Estate Logistics REIT Investment Corporation (TSE:3481),7488814,Industrial REIT,Public Company,Operating,Japan,0.59,"82,074","228,174",181.8,Mitsubishi Estate Logistics RE
Mitsui Fudosan Logistics Park Inc. (TSE:3471),4864525,Industrial REIT,Public Company,Operating,Japan,0.60,"123,900","339,017",266.7,Mitsui Fudosan Logistics Park
MODE TOUR Real Estate Investment Trust Incorporated (KOSE:A204210),4864456,Hotel REIT,Public Company,Operating,South Korea,NA,NA,NA,32.1,MODE TOUR REIT
Modiv Inc. (NYSE:MDV),4614373,Diversified REIT,Public Company,Operating,USA,0.82,"181,945","428,495",74.2,Modiv Inc.
Montea Comm. VA (ENXTBR:MONT),4260787,Industrial REIT,Public Company,Operating,Belgium,0.64,"649,449","1,752,917","1,077.3",Montea Comm. VA
Morguard North American Residential Real Estate Investment Trust (TSX:MRG.UN),4315478,Residential REIT,Public Company,Operating,Canada,1.08,"1,688,960","3,473,287",582.5,Morguard N Amer Resdl REIT
Morguard Real Estate Investment Trust (TSX:MRT.UN),4105065,Diversified REIT,Public Company,Operating,Canada,1.13,"1,297,809","2,493,942",333.8,Morguard REIT
Mori Hills REIT Investment Corporation (TSE:3234),4214010,Office REIT,Public Company,Operating,Japan,0.95,"192,422","411,259",288.0,Mori Hills REIT Invt Corp.
"MORI TRUST Hotel Reit, Inc. (TSE:3478)",6596432,Hotel REIT,Public Company,Operating,Japan,1.07,"53,975","109,535",64.9,MORI Trust Hotel
"MORI TRUST Sogo Reit, Inc. (TSE:8961)",4143345,Office REIT,Public Company,Operating,Japan,0.96,"154,000","325,072",177.5,MORI TRUST Sogo Reit Inc.
MSL 13 - Fundo De Investimento Imobiliario - FII,7155269,Retail REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,MSL 13 - Fundo De Investimento
Mulkia Gulf Real Estate REIT (SASE:4336),10252875,Diversified REIT,Public Company,Operating,Saudi Arabia,0.54,"342,009","1,009,700",596.6,Mulkia Gulf Real Estate REIT
Musharaka REIT Fund (SASE:4335),7862936,Diversified REIT,Public Company,Operating,Saudi Arabia,0.64,"547,485","1,441,771",809.6,Musharaka REIT Fund
"National Health Investors, Inc. (NYSE:NHI)",102983,Healthcare REIT,Public Company,Operating,USA,0.82,"1,242,883","2,838,876","2,448.4",National Health Investors Inc.
"National Retail Properties, Inc. (NYSE:NNN)",103064,Retail REIT,Public Company,Operating,USA,0.96,"3,746,466","7,751,054","7,024.3",National Retail Properties
National Storage Affiliates Trust (NYSE:NSA),4579197,Self-Storage REIT,Public Company,Operating,USA,1.19,"2,964,912","5,562,594","3,656.5",National Storage Affiliates Tr
National Storage REIT (ASX:NSR),4420120,Self-Storage REIT,Public Company,Operating,Australia,0.38,"1,080,607","4,053,981","2,866.3",National Storage REIT
NETSTREIT Corp. (NYSE:NTST),19574131,Retail REIT,Public Company,Operating,USA,0.31,"243,772","1,068,441",919.6,NETSTREIT Corp
"New York City REIT, Inc. (NYSE:NYC)",4433631,Diversified REIT,Public Company,Operating,USA,1.29,"452,887","823,051",48.2,New York City REIT
"NewLake Capital Partners, Inc. (OTCQX:NLCP)",15012328,Industrial REIT,Public Company,Operating,USA,0.01,"3,759","460,883",334.1,NewLake Capital Partners Inc.
Newmark Property REIT (ASX:NPR),101118937,Retail REIT,Public Company,Operating,Australia,0.36,"129,780","498,075",249.9,Newmark Property REIT
Newpark REIT Limited (JSE:NRL),4863369,Diversified REIT,Public Company,Operating,South Africa,0.53,"459,460","1,352,792",379.0,Newpark REIT
NewRiver REIT plc (LSE:NRR),4279144,Retail REIT,Public Company,Operating,United Kingdom,0.90,"371,500","819,100",217.7,NewRiver REIT
NexPoint Diversified Real Estate Trust (NYSE:NXDT),4343307,Diversified REIT,Public Company,Operating,USA,NA,NA,NA,558.2,NexPoint Dvsfd RE Trust
NexPoint Hospitality Trust (TSXV:NHT.U),13485338,Hotel REIT,Public Company,Operating,Canada,NM,"293,840","317,261",73.4,NexPoint Hospitality Trust
"NexPoint Residential Trust, Inc. (NYSE:NXRT)",4561930,Residential REIT,Public Company,Operating,USA,3.31,"1,554,500","2,063,467","1,040.5",NexPoint Residential Trust Inc
Nextensa NV/SA (ENXTBR:NEXTA),4143666,Diversified REIT,Public Company,Operating,Belgium,1.16,"920,593","1,895,961",500.8,Nextensa NV/SA
Nexus Industrial REIT (TSX:NXR.UN),4573165,Industrial REIT,Public Company,Operating,Canada,1.35,"927,696","1,658,157",483.0,Nexus Industrial REIT
"NH Prime REIT Co., Ltd. (KOSE:A338100)",19458039,Office REIT,Public Company,Operating,South Korea,NA,NA,NA,75.1,NH Prime REIT
Nippon Accommodations Fund Inc. (TSE:3226),4211143,Residential REIT,Public Company,Operating,Japan,1.11,"167,500","326,050",305.6,Nippon Accommodations Fund Inc
Nippon Building Fund Incorporation (TSE:8951),4143338,Office REIT,Public Company,Operating,Japan,0.81,"574,500","1,367,719","1,039.3",Nippon Building Fund Inc.
"Nippon Prologis REIT, Inc. (TSE:3283)",4376873,Industrial REIT,Public Company,Operating,Japan,0.65,"303,800","802,253",773.6,Nippon Prologis REIT Inc.
NIPPON REIT Investment Corporation (TSE:3296),4581586,Diversified REIT,Public Company,Operating,Japan,1.02,"132,620","274,896",154.8,NIPPON REIT Investment Corp.
"Nomura Real Estate Master Fund, Inc. (TSE:3462)",4633493,Diversified REIT,Public Company,Operating,Japan,0.84,"517,756","1,187,421",750.7,Nomura Real Estate Master Fund
"NorthStar Healthcare Income, Inc. (OTCPK:NHHS)",4275801,Healthcare REIT,Public Company,Operating,USA,2.08,"930,470","1,412,873",171.3,NorthStar Healthcare Income
NorthWest Healthcare Properties Real Estate Investment Trust (TSX:NWH.UN),4346640,Healthcare REIT,Public Company,Operating,Canada,0.84,"2,967,785","7,064,401","2,474.2",NorthWest Healthcare Ppts REIT
Nova Net Lease REIT (CNSX:NNL.U),101242471,Diversified REIT,Public Company,Operating,Canada,47.62,"10,000","11,770",1.5,Nova Net Lease REIT
NSI N.V. (ENXTAM:NSI),4143778,Office REIT,Public Company,Operating,Netherlands,0.41,"391,407","1,368,225",482.3,NSI
NTT UD REIT Investment Corporation (TSE:8956),4143348,Diversified REIT,Public Company,Operating,Japan,0.92,"127,750","280,999",197.9,NTT UD REIT Investment Corp.
Nurol Gayrimenkul Yatirim Ortakligi A.S. (IBSE:NUGYO),4863852,Diversified REIT,Public Company,Operating,Türkiye,2.84,"1,144,277","1,644,541","2,025.5",Nurol Gayrimenkul Yatirim Orta
Oasis Crescent Property Fund (JSE:OAS),4685986,Diversified REIT,Public Company,Operating,South Africa,0.00,"1,583","1,756,038","1,292.0",Oasis Crescent Property Fund
O-Bank Number One Real Estate Investment Trust (TWSE:01009T),9898658,Diversified REIT,Public Company,Operating,Taiwan,NA,0,"3,235,400","2,580.0",O-Bank Number One
Octodec Investments Limited (JSE:OCT),4685667,Diversified REIT,Public Company,Operating,South Africa,0.78,"4,693,238","11,454,606","2,334.6",Octodec Investments Ltd.
Office Properties Income Trust (NASDAQGS:OPI),4226533,Office REIT,Public Company,Operating,USA,1.72,"2,577,950","4,241,683",688.5,Office Properties Incm Tr
"Olimpo Real Estate SOCIMI, S.A. (BME:YORE)",6676232,Retail REIT,Public Company,Operating,Spain,0.95,"168,455","351,545",206.4,Olimpo Real Estate SOCIMI S.A.
"Omega Healthcare Investors, Inc. (NYSE:OHI)",103065,Healthcare REIT,Public Company,Operating,USA,1.28,"5,253,536","9,638,478","7,175.5",Omega Healthcare Investors
"One Liberty Properties, Inc. (NYSE:OLP)",102988,Diversified REIT,Public Company,Operating,USA,1.36,"415,040","752,953",480.2,One Liberty Properties Inc.
"One REIT, Inc. (TSE:3290)",4545480,Office REIT,Public Company,Operating,Japan,1.00,"61,574","130,582",62.2,"One REIT, Inc."
Ooedo Onsen Reit Investment Corporation (TSE:3472),4849314,Hotel REIT,Public Company,Operating,Japan,0.57,"11,874","34,761",15.6,Ooedo Onsen Reit Investment Co
"Optimum III Value-Added Residential Socimi, S.A. (BME:YOVA)",7703944,Residential REIT,Public Company,Operating,Spain,0.97,"41,365","84,951",56.5,Optimum III Value-Added Reside
"Optimum RE Spain, SOCIMI, S.A. (BME:YORS)",5738449,Residential REIT,Public Company,Operating,Spain,1.25,"43,746","79,637",64.6,"Optimum RE Spain, SOCIMI, S.A."
"Orinoquia Real Estate SOCIMI, S.A. (ENXTPA:MLORQ)",27388980,Residential REIT,Public Company,Operating,Spain,NA,NA,NA,17.1,Orinoquia Re SOCIMI S.A.
Orion Office REIT Inc. (NYSE:ONL),100401249,Office REIT,Public Company,Operating,USA,0.58,"627,104","1,759,478",512.5,Orion Office REIT
ORIX JREIT Inc. (TSE:8954),4143346,Office REIT,Public Company,Operating,Japan,0.85,"297,637","682,870",508.1,ORIX JREIT Inc.
Oryx Properties Limited (NMSE:ORY),4863813,Retail REIT,Public Company,Operating,Namibia,0.58,"1,123,354","3,276,198",896.5,Oryx Properties Ltd.
OUE Commercial Real Estate Investment Trust (SGX:TS0U),4428909,Diversified REIT,Public Company,Operating,Singapore,0.56,"2,010,805","5,832,521","1,665.1",OUE Commercial REIT
OUTFRONT Media Inc. (NYSE:OUT),4157548,Specialty REIT,Public Company,Operating,USA,2.96,"4,116,500","5,924,700","2,767.5",OUTFRONT Media Inc.
Ozak Gayrimenkul Yatirim Ortakligi A.S. (IBSE:OZKGY),4864345,Diversified REIT,Public Company,Operating,Türkiye,0.09,"598,051","9,063,026","7,236.3",Ozak Gayrimenkul Yatirim Ortak
Ozderici Gayrimenkul Yatirim Ortakligi A.S. (IBSE:OZGYO),4863836,Diversified REIT,Public Company,Operating,Türkiye,0.00,"1,200","1,049,012",848.6,Ozderici Gayrimenkul Yatirim O
Palmetto Real Estate Trust (OTCEM:PTTT.S),107167,Retail REIT,Public Company,Operating,USA,1.89,"9,194","14,569",14.1,Palmetto Real Estate Trust
Panora Gayrimenkul Yatirim Ortakligi A.S. (IBSE:PAGYO),4863211,Retail REIT,Public Company,Operating,Türkiye,NA,0,"1,171,742","1,566.9",Panora Gayrimenkul Yatirim Ort
Paragon Real Estate Equity and Investment Trust (OTCPK:PRLE),107420,Diversified REIT,Public Company,Operating,USA,0.39,"15,118","57,583",0.9,Paragon Real Estate Equity
"Paramount Group, Inc. (NYSE:PGRE)",4323331,Office REIT,Public Company,Operating,USA,0.86,"3,835,620","8,494,562","1,491.9",Paramount Group Inc.
Park Hotels & Resorts Inc. (NYSE:PK),4813312,Hotel REIT,Public Company,Operating,USA,1.11,"4,899,000","9,743,000","2,833.0",Park Hotels & Resorts Inc
Park REIT (BUL:PARK),4862648,Residential REIT,Public Company,Operating,Bulgaria,3.36,"20,294","26,429",7.8,Park REIT
Parkway Life Real Estate Investment Trust (SGX:C2PU),4221913,Healthcare REIT,Public Company,Operating,Singapore,0.58,"828,007","2,345,136","2,232.5",Parkway Life REIT
Pasifik Gayrimenkul Yatirim Ortakligi A.S. (IBSE:PSGYO),101317008,Diversified REIT,Public Company,Operating,Türkiye,0.35,"443,870","3,562,512","7,020.0",Pasifik Gayrimenkul Yatirim Or
Patrimoine et Commerce SA (ENXTPA:PAT),4861797,Diversified REIT,Public Company,Operating,France,1.01,"420,116","882,131",224.8,Patrimoine et Commerce SA
Pavilion Real Estate Investment Trust (KLSE:PAVREIT),4307515,Retail REIT,Public Company,Operating,Malaysia,0.56,"2,173,298","6,238,695","3,789.1",Pavilion REIT
Pebblebrook Hotel Trust (NYSE:PEB),4243454,Hotel REIT,Public Company,Operating,USA,0.89,"2,803,314","6,261,190","2,066.4",Pebblebrook Hotel Trust
Pedra Dourada Fundo De Investimento Imobiliário - FII (BOVESPA:OULG11),7643624,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,118.6,Pedra Dourada Fundo De Investi
Peker Gayrimenkul Yatirim Ortakligi Anonim Sirketi (IBSE:PEKGY),10088161,Diversified REIT,Public Company,Operating,Türkiye,0.12,"125,958","1,224,152","1,821.9",Peker Gayrimenkul Yatirim Orta
Pennsylvania Real Estate Investment Trust (NYSE:PEI),102991,Retail REIT,Public Company,Operating,USA,NM,"1,899,688","2,051,736",15.6,Pennsylvania REIT
PERA Gayrimenkul Yatirim Ortakligi AS (IBSE:PEGYO),4864012,Diversified REIT,Public Company,Operating,Türkiye,0.00,461,"146,616",377.8,PERA Gayrimenkul Yatirim Ortak
"Perseida Renta Gestion Socimi, S.A. (ENXTPA:MLPER)",100415762,Retail REIT,Public Company,Operating,Spain,NA,NA,NA,3.7,Perseida Renta Gestion Socimi
Personale I Fundo Invest Imobiliario (BOVESPA:PRSN11B),5733455,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,8.0,Personale I Fundo Invest Imobi
"Phillips Edison & Company, Inc. (NASDAQGS:PECO)",4249007,Retail REIT,Public Company,Operating,USA,0.77,"1,897,033","4,668,768","3,370.3",Phillips Edison & Company Inc.
Physicians Realty Trust (NYSE:DOC),4391353,Healthcare REIT,Public Company,Operating,USA,0.68,"2,016,875","5,182,709","3,227.9",Physicians Realty Trust
Picton Property Income Limited (LSE:PCTN),4143589,Diversified REIT,Public Company,Operating,United Kingdom,0.33,"219,539","895,807",426.7,Picton Property Income Ltd.
"Piedmont Office Realty Trust, Inc. (NYSE:PDM)",113477,Office REIT,Public Company,Operating,USA,1.05,"1,877,850","3,930,665","1,221.6",Piedmont Office Realty Trust
Pine Trail Real Estate Investment Trust (TSXV:PINE.UN),10135471,Office REIT,Public Company,Operating,Canada,NA,0,"3,822",2.1,Pine Trail REIT
Pineapple Corporation Plc (BDL:PINEA),7132002,Diversified REIT,Public Company,Operating,United Kingdom,0.49,"22,263","68,634",43.3,Pineapple Corp. Plc
Pinthong Industrial Park Property Fund (SET:PPF),4864439,Industrial REIT,Public Company,Operating,Thailand,NA,0,"2,497,217","2,514.5",Pinthong Indl Park Ppty Fund
Plaza Retail REIT (TSX:PLZ.UN),4305303,Retail REIT,Public Company,Operating,Canada,1.37,"683,725","1,214,834",412.3,Plaza Retail REIT
"Plymouth Industrial REIT, Inc. (NYSE:PLYM)",4282399,Industrial REIT,Public Company,Operating,USA,1.94,"697,972","1,270,805",688.6,Plymouth Industrial REIT Inc.
Polo Fundo de Investimento Imobiliário - Recebíveis Imobiliários II - FII (BOVESPA:PORD11),4864397,Diversified REIT,Public Company,Operating,Brazil,NA,0,"202,149",356.8,Polo Fundo de Investimento Imo
"Postal Realty Trust, Inc. (NYSE:PSTL)",14199292,Office REIT,Public Company,Operating,USA,0.36,"96,420","377,717",283.7,Postal Realty Trust
PotlatchDeltic Corporation (NASDAQGS:PCH),4062379,Specialty REIT,Public Company,Operating,USA,0.51,"777,424","2,535,215","3,577.4",PotlatchDeltic Corp.
Power REIT (NYSEAM:PW),103006,Specialty REIT,Public Company,Operating,USA,0.47,"23,197","85,318",31.0,Power REIT
Powergrid Infrastructure Investment Trust (BSE:543290),27647256,Industrial REIT,Public Company,Operating,India,0.06,"5,749,060","118,541,670","127,254.3",Powergrid Infrastructure Invt
Precinct Properties New Zealand Limited (NZSE:PCT),4143537,Office REIT,Public Company,Operating,New Zealand,0.55,"1,328,500","3,839,200","1,839.6",Precinct Pty. New Zealand Ltd.
Premier Fund REIT (BUL:PREM),4862645,Diversified REIT,Public Company,Operating,Bulgaria,2.69,"51,861","71,747",22.5,Premier Fund REIT
Presidential Realty Corporation (OTCPK:PDNL.B),102990,Diversified REIT,Public Company,Operating,USA,NM,"1,474","1,050",0.2,Presidential Realty Corp.
"Presidio Property Trust, Inc. (NASDAQCM:SQFT)",4206498,Diversified REIT,Public Company,Operating,USA,1.36,"88,935","161,197",13.6,Presidio Property Trust
Primaris Real Estate Investment Trust (TSX:PMZ.UN),101459644,Retail REIT,Public Company,Operating,Canada,0.45,"986,212","3,247,842","1,335.9",Primaris REIT
Primary Health Properties Plc (LSE:PHP),4143611,Healthcare REIT,Public Company,Operating,United Kingdom,0.85,"1,279,700","2,853,100","1,387.3",Primary Health Ppty Plc
Prime Office Leasehold Property Fund (SET:POPF),4864316,Office REIT,Public Company,Operating,Thailand,0.09,"466,032","6,100,774","5,442.5",Prime Offc Leasehold Ppty Fund
Prime Property BG REIT (BUL:PPBG),4862577,Diversified REIT,Public Company,Operating,Bulgaria,NA,0,"25,683",17.5,Prime Property BG REIT
Prime US REIT (SGX:OXMU),15217916,Office REIT,Public Company,Operating,Singapore,0.63,"629,098","1,672,932",548.8,Prime US REIT
Pro Real Estate Investment Trust (TSX:PRV.UN),4381232,Diversified REIT,Public Company,Operating,Canada,1.24,"532,372","989,963",350.1,Pro REIT
"Prologis, Inc. (NYSE:PLD)",103146,Industrial REIT,Public Company,Operating,USA,0.48,"18,163,499","58,486,220","76,318.0",Prologis Inc.
Property For Industry Limited (NZSE:PFI),4863420,Industrial REIT,Public Company,Operating,New Zealand,0.39,"604,125","2,217,006","1,183.5",Property For Industry Ltd.
Prospect Logistics and Industrial Freehold and Leasehold Real Estate Investment (SET:PROSPECT),19897257,Industrial REIT,Public Company,Operating,Thailand,0.43,"1,027,813","3,623,914","2,303.0",Prospect Logistics & Indl Free
Prosperity Real Estate Investment Trust (SEHK:808),4149720,Office REIT,Public Company,Operating,Hong Kong,0.32,"2,323,219","10,185,623","2,628.0",Prosperity REIT
Public Storage (NYSE:PSA),103016,Self-Storage REIT,Public Company,Operating,USA,0.80,"7,475,279","17,380,908","51,377.6",Public Storage
Puldin Properties Invest REIT (BUL:PLG),5798516,Diversified REIT,Public Company,Operating,Bulgaria,NA,NA,NA,44.4,Puldin Properties Invest REIT
Qrf Comm. VA (ENXTBR:QRF),4422539,Retail REIT,Public Company,Operating,Belgium,1.04,"120,662","239,961",69.8,Qrf Comm. VA
Quality Houses Hotel and Residence Freehold and Leasehold Property Fund (SET:QHHR),4864370,Hotel REIT,Public Company,Operating,Thailand,0.01,"21,309","4,651,288","1,864.8",Quality Houses Hotel & Residen
Quality Houses Leasehold Property Fund (SET:QHPF),4864046,Office REIT,Public Company,Operating,Thailand,0.07,"634,011","9,932,727","7,452.0",Quality Houses Leasehold Ppty
"Quonia Socimi, S.A. (BME:YQUO)",4864522,Diversified REIT,Public Company,Operating,Spain,0.80,"27,842","63,619",44.7,Quonia Socimi S.A.
R&R Real Estate Investment Trust (TSXV:RRR.UN),4864438,Hotel REIT,Public Company,Operating,Canada,3.31,"72,295","107,557",2.8,R&R REIT
Rayonier Inc. (NYSE:RYN),4062541,Specialty REIT,Public Company,Operating,USA,0.81,"1,469,632","3,636,356","4,806.0",Rayonier Inc.
RB Capital Renda I Fundo de Investimento Imobiliário - FII (BOVESPA:FIIP11B),4864264,Industrial REIT,Public Company,Operating,Brazil,NA,0,"186,540",147.1,RB Cap Renda I Fundo de Invest
Real Estate Investors Plc (AIM:RLE),4232693,Diversified REIT,Public Company,Operating,United Kingdom,0.85,"89,444","204,297",55.3,Real Estate Investors Plc
Realty Income Corporation (NYSE:O),103118,Retail REIT,Public Company,Operating,USA,0.63,"15,948,372","43,137,502","35,591.0",Realty Income Corp.
Rebosis Property Fund Limited (JSE:REB),4685674,Diversified REIT,Public Company,Operating,South Africa,2.99,"9,516,640","13,512,228",172.2,Rebosis Property Fund Ltd.
Redefine Properties Limited (JSE:RDF),4260026,Diversified REIT,Public Company,Operating,South Africa,0.78,"30,855,816","75,635,209","26,767.5",Redefine Properties Ltd.
Regal Real Estate Investment Trust (SEHK:1881),4218596,Hotel REIT,Public Company,Operating,Hong Kong,0.82,"10,012,684","22,912,475","3,127.1",Regal REIT
Regency Centers Corporation (NASDAQGS:REG),103091,Retail REIT,Public Company,Operating,USA,0.64,"3,934,732","10,792,563","9,526.0",Regency Centers Corp.
Regional REIT Limited (LSE:RGL),4639893,Office REIT,Public Company,Operating,United Kingdom,0.90,"449,865","1,010,688",323.9,Regional REIT Ltd
Reit 1 Ltd (TASE:RIT1),4862701,Diversified REIT,Public Company,Operating,Israel,1.06,"3,409,106","6,766,356","3,499.2",Reit 1 Ltd
Reit Azorim - Living Ltd (TASE:AZRT),10772929,Residential REIT,Public Company,Operating,Israel,1.80,"321,888","535,403",773.8,Reit Azorim - Living Ltd
Renda de Escritorios Fundo de Investimento Imobiliario - Cotas Fundo (BOVESPA:NEWU11),4864361,Office REIT,Public Company,Operating,Brazil,NA,0,"66,607",28.9,Renda de Escritorios Fundo de
Residential Secure Income plc (LSE:RESI),6575511,Residential REIT,Public Company,Operating,United Kingdom,1.09,"199,546","389,714",164.8,Residential Secure Income plc
Resilient REIT Limited (JSE:RES),4260027,Retail REIT,Public Company,Operating,South Africa,0.54,"10,005,496","30,809,390","17,258.3",Resilient REIT Ltd.
Retail Estates N.V. (ENXTBR:RET),4204278,Retail REIT,Public Company,Operating,Belgium,0.94,"865,712","1,812,228",759.2,Retail Estates N.V.
Retail Opportunity Investments Corp. (NASDAQGS:ROIC),4244279,Retail REIT,Public Company,Operating,USA,0.99,"1,346,639","2,928,844","1,732.4",Retail Opportunity Investments
Retail Value Inc. (OTCPK:RVIC),10730423,Retail REIT,Public Company,Operating,USA,0.03,"2,126","144,398",10.2,Retail Value Inc.
"Rexford Industrial Realty, Inc. (NYSE:REXR)",4391243,Industrial REIT,Public Company,Operating,USA,0.28,"1,404,614","6,781,165","9,087.7",Rexford Industrial Realty Inc.
Reysas Gayrimenkul Yatirim Ortakligi A.S. (IBSE:RYGYO),4864270,Industrial REIT,Public Company,Operating,Türkiye,0.42,"1,653,245","5,670,384","3,415.9",Reysas Gayrimenkul Yatirim Ort
RioCan Real Estate Investment Trust (TSX:REI.UN),4105107,Retail REIT,Public Company,Operating,Canada,0.84,"6,648,593","15,177,463","5,704.4",RioCan REIT
